AudioFile,ImageFile,key,note,color,Item,Group
C_03A.wav, c.png,1,C,red,C3A,1
C_03B.wav, c.png,1,C,red,C3B,1
C_05A.wav, c.png,1,C,red,C5A,1
C_05B.wav, c.png,1,C,red,C5B,1
C_07A.wav, c.png,1,C,red,C7A,1
C_07B.wav, c.png,1,C,red,C7B,1
D_03A.wav, d.png,2,D,orange,D3A,1
D_03B.wav, d.png,2,D,orange,D3B,1
D_05A.wav, d.png,2,D,orange,D5A,1
D_05B.wav, d.png,2,D,orange,D5B,1
D_07A.wav, d.png,2,D,orange,D7A,1
D_07B.wav, d.png,2,D,orange,D7B,1
E_03A.wav, e.png,3,E,yellow,E3A,1
E_03B.wav, e.png,3,E,yellow,E3B,1
E_05A.wav, e.png,3,E,yellow,E5A,1
E_05B.wav, e.png,3,E,yellow,E5B,1
E_07A.wav, e.png,3,E,yellow,E7A,1
E_07B.wav, e.png,3,E,yellow,E7B,1
Fs_03A.wav, fs.png,4,Fs,green,F3A,1
Fs_03B.wav, fs.png,4,Fs,green,F3B,1
Fs_05A.wav, fs.png,4,Fs,green,F5A,1
Fs_05B.wav, fs.png,4,Fs,green,F5B,1
Fs_07A.wav, fs.png,4,Fs,green,F7A,1
Fs_07B.wav, fs.png,4,Fs,green,F7B,1
Gs_03A.wav, gs.png,5,Gs,blue,Gs3A,1
Gs_03B.wav, gs.png,5,Gs,blue,Gs3B,1
Gs_05A.wav, gs.png,5,Gs,blue,Gs5A,1
Gs_05B.wav, gs.png,5,Gs,blue,Gs5B,1
Gs_07A.wav, gs.png,5,Gs,blue,Gs7A,1
Gs_07B.wav, gs.png,5,Gs,blue,Gs7B,1
As_03A.wav, as.png,6,As,purple,As3A,1
As_03B.wav, as.png,6,As,purple,As3B,1
As_05A.wav, as.png,6,As,purple,As5A,1
As_05B.wav, as.png,6,As,purple,As5B,1
As_07A.wav, as.png,6,As,purple,As7A,1
As_07B.wav, as.png,6,As,purple,As7B,1

